State,Year,Transportation (MtCO2e),State GDP (Million US$ (chained 1997/2005)),Population (People),Transit Ridership,Highway use of gasoline (thousand gallons),Highway vehicle-miles traveled (millions),Vehicles,sq mi,tempHigh
Texas,1995,160.26518230000002,530666.0,18958751,251373449.0,8770076.0,181096.0,13681740.0,261231.71,77.6
Utah,1995,13.61344807,48212.0,2014177,25962871.0,853987.0,18781.0,1446870.0,82169.62,61.9
Vermont,1995,3.7807140639999997,14211.0,589002,1610893.0,297653.0,6206.0,492259.0,9216.66,52.8
Virginia,1995,45.01925784,193402.0,6670693,41625868.0,3264525.0,69811.0,5613130.0,39490.09,65.9
Washington,1995,47.12043266,160182.0,5481027,149290759.0,2430188.0,49250.0,4502780.0,66455.52,57.1
West Virginia,1995,12.83201554,36902.0,1823700,3171953.0,867328.0,17421.0,1425210.0,24038.21,62.5
Wisconsin,1995,29.29735367,138010.0,5184836,78892986.0,2253427.0,51396.0,3993330.0,54157.8,52.7
Wyoming,1995,7.0310612279999996,15539.0,485160,229894.0,313372.0,7044.0,601336.0,97093.14,54.0
United States,1995,1769.764496,7539096.0,266278393,7503673005.0,117060566.0,2422775.0,201530020.0,3531905.43,64.34
Alabama,1996,33.34819398,101379.0,4331102,5811397.0,2274640.0,51433.0,3406720.0,50645.33,73.7
Alaska,1996,12.23031229,27271.0,608569,3164082.0,267994.0,4115.0,538426.0,570640.95,33.1
Arizona,1996,29.29237864,120869.0,4586940,52335946.0,2062005.0,42123.0,3011670.0,113594.08,76.4
Arkansas,1996,19.83106168,58346.0,2572109,5457257.0,1322962.0,27809.0,1626550.0,52035.48,70.4
California,1996,214.585789,978299.0,32018834,1130122567.0,13291758.0,278043.0,24391430.0,155779.22,71.9
Colorado,1996,24.22757585,123144.0,3919972,76498102.0,1779655.0,36141.0,3438110.0,103641.89,59.7
Connecticut,1996,16.18962132,131913.0,3336685,40588053.0,1326218.0,28135.0,2620220.0,4842.36,58.1
Florida,1996,92.12259797,376851.0,14853360,169782749.0,6560084.0,130004.0,10767210.0,53624.76,80.7
Georgia,1996,62.92556472,223307.0,7501069,157700825.0,4218465.0,89132.0,6359370.0,57513.49,74.4
Hawaii,1996,9.064139699,39132.0,1203755,69717822.0,382909.0,8030.0,786748.0,6422.63,
Idaho,1996,8.408411409,28927.0,1203083,1713452.0,569417.0,12961.0,1056410.0,82643.12,54.8
Illinois,1996,61.11131426,389704.0,12101997,566166869.0,4631162.0,96385.0,8860360.0,55518.93,60.2
Indiana,1996,45.54651042,160020.0,5906013,28490387.0,2895763.0,66220.0,5241060.0,35826.11,60.0
Iowa,1996,20.0198617,78834.0,2880000,13676073.0,1456486.0,26880.0,2852890.0,55857.13,55.3
Kansas,1996,19.83633861,70361.0,2614554,3881463.0,1258374.0,25942.0,2120840.0,81758.72,65.7
